id,artist,name,duration,bpm,mood,score
4cG7HUWYHBV6R6tHn1gxrl,Riton;Nightcrawlers;Mufasa & Hypeman;Dopamine,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,2.82,122.98,energik,82
4iJyoBOLtHqaGxP12qzhQI,Justin Bieber;Daniel Caesar;Giveon,Peaches (feat. Daniel Caesar & Giveon),3.3,90.03,fokus,86
3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',3.53,134.002,energik,86
2prnn41CblB8B4yWACDljP,Shouse;David Guetta,Love Tonight - David Guetta Remix Edit,2.63,126.002,energik,81
3k3NWokhRRkEPhCzPmV8TW,Bad Bunny;Bomba Estéreo,Ojitos Lindos,4.3,79.928,relaksasi,95
1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,3.76,115.042,fokus,93
4fSar1liXyxCK3lOcWHUE1,Natalia Jiménez,Creo en Mi,3.82,79.845,relaksasi,72
4BP3uh0hFLFRb5cjsgLqDh,Creedence Clearwater Revival,Fortunate Son,2.35,132.77,energik,82
0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,Until I Found You,2.96,101.358,fokus,90
51Grh1RyUDcMBbpuyUIUHI,Liana Flores,rises the moon,2.7,137.35,energik,81
4zN21mbAuaD0WqtmaTZZeP,James Hype;Miggy Dela Rosa,Ferrari,3.11,125.004,energik,90
15JINEqzVMv3SvJTAXAKED,Eminem;Rihanna,Love The Way You Lie,4.39,86.989,fokus,83
5UlnuulVAVmmesw4VzqHdG,Imagine Dragons;Arcane;League of Legends,Enemy - From the series Arcane League of Legends,2.89,77.029,relaksasi,80
0yowbJnnbTLpr99f9l1uba,Arctic Monkeys,There’d Better Be A Mirrorball,4.43,72.062,relaksasi,77
3fjN3y5x4hN53rykAN2LHQ,Rels B,cómo dormiste?,1.88,126.426,energik,89
0mBP9X2gPCuapvpZ7TGDk3,Charlie Puth;Jung Kook;BTS,Left and Right (Feat. Jung Kook of BTS),2.57,101.058,fokus,92
04sN26COy28wTXYj3dMoiZ,Billie Eilish,Bored,3.02,119.959,fokus,85
2gYj9lubBorOPIVWsTXugG,IVE,After LIKE,2.95,125.014,energik,88
2lNTHWu2I5Tcz9ukWsV5Jj,Jordan Davis,Next Thing You Know,2.92,78.526,relaksasi,75
75FYqcxt1YEAtqDLrOeIJn,Bob Marley & The Wailers,Three Little Birds,3.0,74.126,relaksasi,78
41CgzGD7xlgnJe14R4cqkL,Lauv,Paris in the Rain,3.41,76.309,relaksasi,73
5sICkBXVmaCQk5aISGR3x1,Metallica,Enter Sandman,5.52,123.257,energik,81
6lOWoTqVnAWXchddtTH31W,Tom Walker,Leave a Light On,3.1,68.976,relaksasi,71
28GCbKgjlVD9eDmasGbe0T,Bad Bunny,Me Fui de Vacaciones,3.02,85.046,fokus,85
7vguMCv8uVuZLiQJ156u3Z,Sam Tinnesz;Yacht Money,Play with Fire (feat. Yacht Money),3.01,75.012,relaksasi,76
2zYzyRzz6pRmhPzyfMEC8s,AC/DC,Highway to Hell,3.47,115.728,fokus,85
0QBzMgT7NIeoCYy3sJCof1,Camila Cabello;Ed Sheeran,Bam Bam (feat. Ed Sheeran),3.43,94.996,fokus,87
0UvZcEfpzVyx47QsRbjyBz,Bad Bunny,El Apagón,3.36,117.765,fokus,83
2Ch7LmS7r2Gy2kc64wv3Bz,The Weeknd,Die For You,4.34,133.249,energik,88
63WuQOXohQIxOxIFA2K7bR,Måneskin,SUPERMODEL,2.47,120.983,energik,83
1r9xUipOqoNwggBpENDsvJ,Imagine Dragons;JID;Arcane;League of Legends,Enemy (with JID) - from the series Arcane League of Legends,2.89,77.011,relaksasi,86
0gPgdRfB4jdGrlyXS0Vx78,Vishal-Shekhar;KK;Shilpa Rao,Khuda Jaane,5.56,78.936,relaksasi,72
19gCnDoMbugHhF7eMpLpe1,Pink Sweat$,Honesty,3.15,79.975,relaksasi,70
503OTo2dSqe7qk76rgsbep,Dr. Dre;Snoop Dogg,Still D.R.E.,4.51,93.431,fokus,84
3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,3.51,130.041,energik,84
2tjWCe2W7sgvS3C8NHcdtI,Akhil;Dhvani Bhanushali;Abhijit Vaghani;Bob,"Duniyaa (From ""Luka Chuppi"")",3.71,77.17,relaksasi,74
7EyhPjrJzjx0fk2i7vUJCS,BLACKPINK,Pink Venom,3.12,90.016,fokus,85
5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,3.55,98.047,fokus,96
41wtwzCZkXwpnakmwJ239F,Bad Bunny,Si Veo a Tu Mamá,2.85,129.928,energik,82
4qu63nuBpdn0qHUHuObEj1,Marshmello;Jonas Brothers,Leave Before You Love Me (with Jonas Brothers),2.58,119.976,fokus,85
0fX4oNGBWO3dSGUZcVdVV2,Kendrick Lamar,N95,3.27,139.956,energik,83
0z8hI3OPS8ADPWtoCjjLl6,Shawn Mendes;Tainy,Summer of Love (Shawn Mendes & Tainy),3.07,123.988,energik,82
6TfBA04WJ3X1d1wXhaCFVT,The Offspring,"You're Gonna Go Far, Kid",2.96,126.115,energik,81
5cF0dROlMOK5uNZtivgu50,Charlie Puth,Attention,3.48,100.066,fokus,83
3dPQuX8Gs42Y7b454ybpMR,The White Stripes,Seven Nation Army,3.87,123.596,energik,84
60F6pgM6H6miNr5AmjxwjL,The Neighbourhood,Fallen Star,3.75,75.001,relaksasi,70
0tyR7Bu9P086aWBFZ4QJoo,All Time Low;blackbear,Monsters (feat. blackbear),2.9,78.532,relaksasi,71
6jjYDGxVJsWS0a5wlVF5vS,BTS,Butter,2.75,109.997,fokus,83
1Xi84slp6FryDSCbzq4UCD,Duncan Laurence,Arcade,3.06,71.884,relaksasi,80
3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar;SZA,All The Stars (with SZA),3.87,96.924,fokus,83
44XjoNvtwevktFKjvVe1vH,Bad Bunny;Buscabulla,Andrea,5.66,103.071,fokus,86
7tqhbajSfrz2F7E1Z75ASX,Marvin Gaye;Tammi Terrell,Ain't No Mountain High Enough,2.53,129.991,energik,82
3ZFTkvIE7kyPt6Nu3PEa7V,Shakira;Wyclef Jean,Hips Don't Lie (feat. Wyclef Jean),3.63,100.024,fokus,84
